序号,统一档位,投递顺序,单位路线,地域大类,省份/区域,城市/地点,公司/单位,岗位方向,薪资/福利,投递入口/渠道,单位属性,原始档位,操作建议,备注
120,G档·央国企稳定线,2,央企国企,海外,海外,华为德国/奥地利研究所,Senior/Principal Engineer EMS (BESS),,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
121,G档·央国企稳定线,2,央企国企,全国/待核验,其他/待核验,1.8-3万·18薪,储能安全资深工程师(电气安全),,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
122,G档·央国企稳定线,2,央企国企,全国/待核验,其他/待核验,10k+/月,2026春招/秋招 星熠培训生,电气/自动化方向,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
123,G档·央国企稳定线,2,央企国企,全国/待核验,其他/待核验,13个岗位之一,EMS算法资深工程师,,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
124,G档·央国企稳定线,2,央企国企,全国/待核验,其他/待核验,18-35k·18薪,BMS算法资深工程师,硕士 / 4年以上 / SOX策略(OCV/SOH/SOP),,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
125,G档·央国企稳定线,2,央企国企,全国/待核验,其他/待核验,25-45k·14薪,储能系统工程师,上市企业,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
126,G档·央国企稳定线,2,央企国企,全国/待核验,其他/待核验,3-5万·18薪,储能变流器系统专家,,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
127,G档·央国企稳定线,2,央企国企,全国/待核验,其他/待核验,5-10年经验,储能EMS系统工程师,架构设计+PCS/BMS对接,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
128,G档·央国企稳定线,2,央企国企,全国/待核验,其他/待核验,中压开关技术,Electrical Engineer 智能基础设施 (Smart Infrastructure),,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
129,G档·央国企稳定线,2,央企国企,全国/待核验,其他/待核验,储能/EMS方向,Firmware Design 工程师,外企 / 上海,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
130,G档·央国企稳定线,2,央企国企,全国/待核验,其他/待核验,储能/电气方向,Turbine Control Engineer / 结构设计工程师等,,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
131,G档·央国企稳定线,2,央企国企,全国/待核验,其他/待核验,变压器业务大中华区,Engineering Manager,55城覆盖,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
132,G档·央国企稳定线,2,央企国企,全国/待核验,其他/待核验,在华23个职位,R&D Electrical Engineer / 储能相关,储能业务线,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
133,G档·央国企稳定线,2,央企国企,全国/待核验,其他/待核验,外企,E-Next 储能相关岗位 (JR00035981),储能,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
134,G档·央国企稳定线,2,央企国企,全国/待核验,其他/待核验,多个地点,BMS/EPMS 招标工程师,Tendering Engineer,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
135,G档·央国企稳定线,2,央企国企,全国/待核验,其他/待核验,大型地面电站储能系统设计,储能系统工程师 17-19级,,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
136,G档·央国企稳定线,2,央企国企,全国/待核验,其他/待核验,微电网研发,"Senior Engineer, Renewable Energy And Microgrid",上海,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
137,G档·央国企稳定线,2,央企国企,全国/待核验,其他/待核验,江浙沪,国家电网-江浙沪电力局,电工类/电气/控制,20-30万,zhaopin.sgcc.com.cn,央企/央企子公司,A档·冲一冲,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
138,G档·央国企稳定线,2,央企国企,全国/待核验,其他/待核验,海上/沿海城市,中国海油 CNOOC,电气、控制、海洋工程,20-35万,cnooc.com.cn/zyzx,央企/央企子公司,A档·冲一冲,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
139,G档·央国企稳定线,2,央企国企,全国/待核验,其他/待核验,虚拟电厂方案设计,储能EMS系统专家,技术洞察/竞品分析,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
140,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,EMS软件工程师 | 上海 | 30万/年,中国电气装备集团储能科技,,,央企/央企子公司,待分类,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
141,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,上海电气（上海电气集团）,储能系统集成,电气龙头,sasac.gov.cn,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
142,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,东方电气集团,储能氢能 / 电源系统,三大动力之一 德阳/成都,sasac.gov.cn,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
143,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,中国中化（中国中化控股）,化学/能源类,,job.sinochem.com,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
144,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,中国中车 CRRC（中国中车集团）,风电/光伏/储能/氢能,央企 · 3000+岗,crrc.hotjob.cn,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
145,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,中国宝武（中国宝武钢铁集团）,能源管理/电气,央企,campus.51job.com/baowugroup2026,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
146,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,中国海油（中国海洋石油集团）,电气/控制/新能源,20-35万,cnooc.com.cn/zyzx,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
147,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,中国物流集团（中国物流集团（诚通旗下））,IT / 供应链,,chinalogisticsgroup.hotjob.cn,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
148,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,中国电气装备集团储能公司,EMS软件工程师 / PCS软件工程师,30万/年 · 央企 · 上海静安 2026春招已启动,campus.51job.com/cnkj2026,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
149,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,中国电科12所（中国电科集团（CETC））,2026届校招,,已启动,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
150,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,中国电科18所（中国电科集团（CETC））,电源系统 / BMS,硕士/博士,,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,dklt.zhiye.com
151,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,中国能建/电建,,,,央企/央企子公司,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,储能板块关注
152,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,中国航发（中国航空发动机集团）,燃气轮机/新能源,央企 · 北京,aecc.cn,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
153,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,中国船舶集团（中国船舶集团）,新能源/储能,央企,cssc.net.cn,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
154,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,中国诚通（中国诚通控股集团）,国有资本运营,,sasac.gov.cn,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
155,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,中广核新能源,,,,央企/央企子公司,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,关注官网+国聘
156,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,中广核（中国广核集团）,新能源/电气,20-30万,cgn.hotjob.cn,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
157,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,中建科工,储能科学与工程岗,央企子公司 · 深圳 2026科工人招募,jlu.edu.cn,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
158,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,中石化石油工程建设,智能低碳研究岗 / 智慧能源设计岗,储能+氢能+低碳 硕士,niuqizp.com,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
159,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,中石化（中国石油化工集团）,储能/新能源/氢能,18-28万,job.sinopec.com,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
160,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,中能建上海院,电气系统集成工程师（储能方向）,含PCS/BMS/EMS集成 上海,bjx.com.cn,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
161,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,中能建广东火电,储能/新能源相关,央企子公司 新型电力系统,ceec.net.cn,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
162,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,华电福新(福建),,,,央企/央企子公司,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,福建本地优选
163,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,南网储能,,,,央企/央企子公司,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,关注南网招聘官网+国聘
164,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,哈电集团,新能源 / 储能方向,七险二金 哈尔滨/多地点,harbin-electric.com,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
165,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,国企/央企春招,11-12月：补录收尾,,,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
166,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,国家电投（国家电力投资集团）,储能系统设计工程师,央企,spic2026.iguopin.com,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
167,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,国家能源集团（国家能源投资集团）,电气/新能源/储能,15-25万,zhaopin.chnenergy.com.cn,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
168,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,国投集团 SDIC（国家开发投资集团）,管培生（含能源方向）,,sdic1.iguopin.com,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
169,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,天津空间电源科技（中国电科集团（CETC））,空间电源 / 储能,博士,,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,电科旗下
170,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,广东能源集团,,,,地方国企/省市属,V3/V4增量,稳定路线；优先官网/国聘/集团校招平台核验并投递。,关注储能岗位
171,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,微电网研发 | 上海,伊顿,,,外企/跨国,待分类,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
172,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,招商局集团（招商局集团）,科创产业,,cmhk.com,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
173,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,电气业务岗 | 广东/广西/云南/贵州/海南,南方电网储能,,,央企/央企子公司,待分类,稳定路线；优先官网/国聘/集团校招平台核验并投递。,
174,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,电科蓝天 CETC 14所子公司（中国电科集团（CETC））,BMS / 储能 / 电源系统,硕士,,央企/央企子公司,体制内·央国企,稳定路线；优先官网/国聘/集团校招平台核验并投递。,已覆盖 · 688818.SH
175,G档·央国企稳定线,2,央企国企,全国/待核验,待补充,,航天科工/航天科技（中国航天科技集团 / 中国航天科工集团）,新能源/储能（部分院所）,央企,,央企/央企子公司,体制内·特殊赛道,稳定路线；优先官网/国聘/集团校招平台核验并投递。,spacechina.com
176,B档·主投线,3,市场化私企,南方重点,广东,深圳,拓邦股份,电池控制/BMS,14-20万,topband.com.cn,市场化/上市民企,B档·稳一稳,主力投递；匹配度较高，建议批量投递并持续复盘。,
177,B档·主投线,3,市场化私企,南方重点,广东,深圳,拓邦股份 (002139),电池控制/BMS,14-20万,topband.com.cn,市场化/上市民企,B档·稳一稳,主力投递；匹配度较高，建议批量投递并持续复盘。,
178,B档·主投线,3,市场化私企,南方重点,浙江,杭州,禾迈股份,储能控制,14-20万,hoymiles.com,市场化/上市民企,B档·稳一稳,主力投递；匹配度较高，建议批量投递并持续复盘。,
179,B档·主投线,3,市场化私企,南方重点,浙江,杭州,禾迈股份 (688032),储能控制,14-20万,hoymiles.com,市场化/上市民企,B档·稳一稳,主力投递；匹配度较高，建议批量投递并持续复盘。,
180,B档·主投线,3,市场化私企,南方重点,江苏,合肥/南京,国轩高科,BMS算法,18-26万,gotion.zhiye.com,市场化/上市民企,B档·稳一稳,主力投递；匹配度较高，建议批量投递并持续复盘。,
181,B档·主投线,3,市场化私企,南方重点,江苏,常州,中创新航(CALB),BMS算法校招,13-18万,calb.com.cn,市场化/上市民企,B档·稳一稳,主力投递；匹配度较高，建议批量投递并持续复盘。,
182,B档·主投线,3,市场化私企,南方重点,江苏,苏州,固德威,储能EMS,16-24万,goodwe.zhiye.com,市场化/上市民企,B档·稳一稳,主力投递；匹配度较高，建议批量投递并持续复盘。,
183,B档·主投线,3,市场化私企,南方重点,上海,上海,派能科技,储能EMS/BMS,18-26万,pylontech.com.cn,市场化/上市民企,B档·稳一稳,主力投递；匹配度较高，建议批量投递并持续复盘。,
184,B档·主投线,3,市场化私企,全国/待核验,待补充,,BMS算法高级工程师(储能) | 合肥 | 1.4-2.3万·13薪,国轩高科,,,市场化/上市民企,待分类,方向匹配但来源分组较新，建议按主投池核验岗位要求。,
185,B档·主投线,3,市场化私企,全国/待核验,待补充,,储能/电池相关岗位 | 多地点,比亚迪,,,市场化/上市民企,待分类,方向匹配但来源分组较新，建议按主投池核验岗位要求。,
186,B档·主投线,3,市场化私企,全国/待核验,待补充,,储能安全与系统 / 电池安全与制造工艺 | 多地点,比亚迪,,,市场化/上市民企,待分类,方向匹配但来源分组较新，建议按主投池核验岗位要求。,
187,R档·研究院/事业线,4,研究院/事业单位,南方重点,广东,广州,南方电网储能科研院,储能技术/AI,高层次人才补贴,zhaopin.csg.cn,央企/央企子公司,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
188,R档·研究院/事业线,4,研究院/事业单位,南方重点,广东,广州,南网储能科研院,储能/AI,高层次人才补贴,zhaopin.csg.cn,央企/央企子公司,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
189,R档·研究院/事业线,4,研究院/事业单位,南方重点,广东,广州/深圳,南方电网储能,储能科研/自动化,硕士18-28万,zhaopin.csg.cn,央企/央企子公司,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
190,R档·研究院/事业线,4,研究院/事业单位,南方重点,广东,广州/深圳,南方电网储能,储能科研/自动化控制,硕士18-28万,zhaopin.csg.cn,央企/央企子公司,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
191,R档·研究院/事业线,4,研究院/事业单位,南方重点,广东,深圳,中石油深圳新能源研究院,央企/新能源/储能研发(中科院+中石油),20-35万,官网/猎聘,央企/央企子公司,P3,适合技术/科研/稳定路线；重点看是否接收应届硕士。,深圳新增(储能/BMS)
192,R档·研究院/事业线,4,研究院/事业单位,南方重点,浙江,浙江湖州,湖州工控技术研究院,算法开发(风光储氢),事业编制,浙大就业网,央企/央企子公司,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
193,R档·研究院/事业线,4,研究院/事业单位,南方重点,浙江,浙江湖州,湖州工控技术研究院,算法开发工程师,事业编制,浙大就业网,研究院/事业单位,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
194,R档·研究院/事业线,4,研究院/事业单位,南方重点,浙江,浙江湖州,湖州工控研究院,算法(储能/氢能),事业编制,浙大就业网,央企/央企子公司,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
195,R档·研究院/事业线,4,研究院/事业单位,南方重点,浙江,浙江湖州,湖州工控研究院,算法开发,事业编制,浙大就业网,研究院/事业单位,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
196,R档·研究院/事业线,4,研究院/事业单位,中南/华东备选,湖北,天津/武汉,中国汽研中心,新能源/算法,硕士15-22万,中汽中心招聘,研究院/事业单位,体制内·事业单位,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
197,R档·研究院/事业线,4,研究院/事业单位,中南/华东备选,湖北,天津/武汉,中国汽车技术研究中心,新能源/算法,硕士15-22万,中汽中心招聘,研究院/事业单位,体制内·事业单位,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
198,R档·研究院/事业线,4,研究院/事业单位,中南/华东备选,安徽,北京/合肥/成都等,大唐科研总院,控制工程/新能源,六险二金+安家费,大唐人才招聘,央企/央企子公司,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
199,R档·研究院/事业线,4,研究院/事业单位,其他国内,京津冀,北京,华能清洁能源研究院,算法工程师/自动化,七险二金+北京落户,华能校招系统,央企/央企子公司,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
200,R档·研究院/事业线,4,研究院/事业单位,其他国内,京津冀,北京,华能清能院,算法/自动化,七险二金+北京落户,华能校招系统,央企/央企子公司,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
201,R档·研究院/事业线,4,研究院/事业单位,其他国内,京津冀,北京/成都等,大唐科研总院,控制/新能源,六险二金+安家费,大唐人才网,央企/央企子公司,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
202,R档·研究院/事业线,4,研究院/事业单位,其他国内,京津冀,天津,中电科蓝天18所,BMS/电源,博士40-100万,dklt.zhiye.com,央企/央企子公司,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
203,R档·研究院/事业线,4,研究院/事业单位,其他国内,京津冀,天津,中电科蓝天研究院(18所),BMS/电源系统/储能,博士40-100万,dklt.zhiye.com,央企/央企子公司,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
204,R档·研究院/事业线,4,研究院/事业单位,其他国内,京津冀,天津,天津电气研究院,电气控制/储能,硕士15-22万,官网招聘,央企/央企子公司,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
205,R档·研究院/事业线,4,研究院/事业单位,其他国内,京津冀,天津,天津电气研究院,电气/控制研发,事业编制,官网招聘,研究院/事业单位,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
206,R档·研究院/事业线,4,研究院/事业单位,其他国内,京津冀,天津,天津电气科学研究院,电气控制/储能,硕士15-22万,官网招聘,央企/央企子公司,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
207,R档·研究院/事业线,4,研究院/事业单位,其他国内,京津冀,天津,天津电气科学研究院,电气/控制研发,事业编制,官网招聘,研究院/事业单位,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
208,R档·研究院/事业线,4,研究院/事业单位,其他国内,京津冀,天津/成都/西安,中石化工程研究院,智能低碳,央企编制,中石化人才网,央企/央企子公司,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
209,R档·研究院/事业线,4,研究院/事业单位,其他国内,京津冀,天津/成都/西安,中石化工程设计研究院,智能低碳研究,央企编制,中石化人才招聘网,央企/央企子公司,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
210,R档·研究院/事业线,4,研究院/事业单位,全国/待核验,待补充,,中国建研院（中国建筑科学研究院）,建筑电气/智能建造,科技型央企 · 北京,hr.cabr.com.cn:28895,央企/央企子公司,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
211,R档·研究院/事业线,4,研究院/事业单位,全国/待核验,待补充,,中国铁建新能源产业技术研究院,储能技术研究所职员,央企新成立(2024.12) 北京 · 技术研究所,bjx.com.cn,央企/央企子公司,体制内·研究院,适合技术/科研/稳定路线；重点看是否接收应届硕士。,
212,C档·保底线,5,市场化私企,南方重点,广东,深圳,深圳盛弘股份(补充),储能BMS/PCS(已列入C档),14-20万,sinexcel.com,市场化/上市民企,C档·保底,用于拿面试和保底 offer，保持节奏但不要过度投入。,
213,C档·保底线,5,市场化私企,南方重点,广东,深圳,盛弘股份,储能BMS,14-20万,sinexcel.com,市场化/上市民企,C档·保底,用于拿面试和保底 offer，保持节奏但不要过度投入。,
214,C档·保底线,5,市场化私企,南方重点,广东,深圳,盛弘股份 (300693),储能BMS,14-20万,sinexcel.com,市场化/上市民企,C档·保底,用于拿面试和保底 offer，保持节奏但不要过度投入。,
215,C档·保底线,5,市场化私企,南方重点,浙江,宁波/上海,杉杉股份,BMS/能源管理,14-22万,shanshantech.com,市场化/上市民企,C档·保底,用于拿面试和保底 offer，保持节奏但不要过度投入。,
216,C档·保底线,5,市场化私企,南方重点,浙江,宁波/上海,杉杉股份 (600884),BMS/能源管理,14-22万,shanshantech.com,市场化/上市民企,C档·保底,用于拿面试和保底 offer，保持节奏但不要过度投入。,
217,N档·新设扩产待核验,6,新设扩产待核验,南方重点,福建,厦门,Ampace新能安,BMS/EMS算法,18-35万,ampace.hotjob.cn,市场化/民企或待核验,A档·冲一冲,先核验是否已有正式校招/社招入口，再决定是否投递。,
218,N档·新设扩产待核验,6,新设扩产待核验,南方重点,福建,厦门,北辰星储能,BMS/EMS技术,8-11万,BOSS直聘,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
219,N档·新设扩产待核验,6,新设扩产待核验,南方重点,福建,厦门,北辰星储能,技术研发,7-9K/月,BOSS直聘,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
220,N档·新设扩产待核验,6,新设扩产待核验,南方重点,福建,厦门,厦门艾能星储能,储能电气(BMS/EMS),10-16万,厦门人才网,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
221,N档·新设扩产待核验,6,新设扩产待核验,南方重点,福建,厦门,拓普菲斯新能源,储能系统(BMS),12-18K/月,BOSS直聘,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
222,N档·新设扩产待核验,6,新设扩产待核验,南方重点,福建,厦门,索克曼能源,软件(UPS/BMS),10-12万,厦门人才网,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
223,N档·新设扩产待核验,6,新设扩产待核验,南方重点,福建,厦门,索克曼能源,软件工程师,8-12K/月,厦门人才网,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
224,N档·新设扩产待核验,6,新设扩产待核验,南方重点,福建,宁德,储能电池EMS工程师（跨国公司，不卷）,25-40k·14薪,,,市场化/民企或待核验,V3/V4增量,先核验是否已有正式校招/社招入口，再决定是否投递。,
225,N档·新设扩产待核验,6,新设扩产待核验,南方重点,福建,福州,东南汽车,助理电控(BMS),6-11K/月,BOSS直聘,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
226,N档·新设扩产待核验,6,新设扩产待核验,南方重点,福建,福州,智狐能源,EMS研发,20K+/月,北极星招聘,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
227,N档·新设扩产待核验,6,新设扩产待核验,南方重点,福建,福州,智狐能源,EMS（研发方向）,20K+/月,北极星招聘,市场化/民企或待核验,C档·保底,先核验是否已有正式校招/社招入口，再决定是否投递。,
228,N档·新设扩产待核验,6,新设扩产待核验,南方重点,福建,福州,飞毛腿动力科技,BMS算法/SOX,15-30K/月,福州人才网,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
229,N档·新设扩产待核验,6,新设扩产待核验,南方重点,福建,福州,飞毛腿动力科技,BMS算法/SOX算法,15-30K/月,福州人才网/一览电池,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
230,N档·新设扩产待核验,6,新设扩产待核验,南方重点,福建,福建,华电福新（华电福建）,水电/风电/光伏/储能,-,,市场化/民企或待核验,P2,先核验是否已有正式校招/社招入口，再决定是否投递。,央企存量，福建本地优选
231,N档·新设扩产待核验,6,新设扩产待核验,南方重点,福建,福建,国宁新储(福建),,母公司：国家电投+宁德时代（合资） · 10亿·国家电投+宁德时代,-,央企/央企子公司,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,????? 储能技术
232,N档·新设扩产待核验,6,新设扩产待核验,南方重点,福建,福建多地,新能时代储能（宁德时代系）,储能全产业链,待核验,,市场化/上市民企,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,待核验
233,N档·新设扩产待核验,6,新设扩产待核验,南方重点,福建,福建漳州,海辰储能 — 漳州基地,储能电芯,待核验,,市场化/民企或待核验,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,待核验
234,N档·新设扩产待核验,6,新设扩产待核验,南方重点,福建,福建福州,国轩高科 — 福州基地,储能电池,待核验,,市场化/上市民企,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,待核验
235,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,东莞,ATL(新能源科技),BMS算法,18-26万,atlbattery.com,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
236,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,东莞,新能德(NVT),BMS算法,16-24万,nvt.com.cn,市场化/民企或待核验,B档·稳一稳,先核验是否已有正式校招/社招入口，再决定是否投递。,
237,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,云浮,广州东信软件,EMS/调度高级工程师,,,市场化/民企或待核验,V3/V4增量,先核验是否已有正式校招/社招入口，再决定是否投递。,
238,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,广东,广东储能产业发展,,母公司：广东能源集团+南网科技 · 20亿·南网科技+广东能源,-,央企/央企子公司,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,???? 储能产业
239,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,广东,广东新型储能国家研究院,,,-,央企/央企子公司,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,
240,N档·新设扩产待核验,6,新设扩产待核验,南方重点,广东,广东佛山,海博思创 — 佛山基地,储能系统集成,待核验,,市场化/民企或待核验,新设/扩产·待核验,先核验是否已有正式校招/社招入口，再决定是否投递。,待核验
